subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	scr_diff_SVO_first-pass	scr_diff_SVO_progr	scr_diff_SVO_regr	scr_diff_SVO_lookback	scr_diff_OVS_first-pass	scr_diff_OVS_progr	scr_diff_OVS_regr	scr_diff_OVS_lookback	scr_same_SVO_first-pass	scr_same_SVO_progr	scr_same_SVO_regr	scr_same_SVO_lookback	scr_same_OVS_first-pass	scr_same_OVS_progr	scr_same_OVS_regr	scr_same_OVS_lookback
26	"4,372.00"	"3,640.00"	732.00	0.00	"5,372.40"	"4,219.60"	"1,152.80"	68.00	"4,379.20"	"3,739.20"	640.00	98.80	"4,710.80"	"3,858.60"	852.20	281.80	"4,680.80"	"3,528.20"	"1,152.60"	245.00	"4,387.80"	"3,324.40"	"1,063.40"	91.60
27	"3,958.80"	"2,665.00"	"1,293.80"	"1,016.20"	"3,688.20"	"2,907.80"	780.40	"1,651.60"	"4,692.60"	"2,851.00"	"1,841.60"	330.40	"3,212.60"	"2,748.20"	464.40	167.60	"3,349.20"	"2,698.40"	650.80	"2,159.20"	"6,599.80"	"3,118.40"	"3,481.40"	"1,963.20"
28	"3,572.40"	"3,171.60"	400.80	729.20	"4,147.40"	"3,490.20"	657.20	"1,420.60"	"4,958.60"	"3,522.20"	"1,436.40"	409.20	"5,660.20"	"3,160.00"	"2,500.20"	482.40	"6,473.80"	"3,722.60"	"2,751.20"	651.20	"4,573.60"	"3,390.80"	"1,182.80"	481.60
29	"1,963.40"	"1,559.60"	403.80	337.20	"2,505.80"	"1,788.60"	717.20	302.40	"2,168.20"	"1,964.20"	204.00	568.60	"3,388.60"	"2,573.60"	815.00	647.20	"3,288.20"	"2,341.40"	946.80	"1,014.60"	"2,798.40"	"2,301.40"	497.00	851.80
30	"3,954.20"	"2,864.60"	"1,089.60"	125.80	"3,559.20"	"2,922.00"	637.20	192.40	"4,560.20"	"3,020.00"	"1,540.20"	219.60	"3,658.00"	"2,670.60"	987.40	114.80	"4,005.80"	"2,854.20"	"1,151.60"	90.60	"3,795.40"	"2,815.60"	979.80	789.00
31	"3,309.20"	"2,573.60"	735.60	"2,624.00"	"3,636.80"	"2,388.80"	"1,248.00"	"2,166.60"	"3,372.60"	"2,434.60"	938.00	917.20	"3,665.80"	"2,405.60"	"1,260.20"	"1,995.60"	"3,722.00"	"2,390.40"	"1,331.60"	744.60	"4,260.00"	"2,419.80"	"1,840.20"	"1,120.00"
32	"5,512.00"	"3,589.60"	"1,922.40"	663.20	"5,059.20"	"3,405.40"	"1,653.80"	402.00	"3,951.40"	"2,991.00"	960.40	192.60	"6,962.00"	"3,825.20"	"3,136.80"	142.60	"5,027.80"	"3,415.00"	"1,612.80"	288.60	"4,463.80"	"2,768.00"	"1,695.80"	347.00
33	"4,354.00"	"3,938.00"	416.00	0.00	"4,132.80"	"3,642.60"	490.20	42.40	"4,563.20"	"3,554.80"	"1,008.40"	269.40	"5,082.80"	"3,632.00"	"1,450.80"	99.80	"4,700.20"	"3,697.20"	"1,003.00"	103.80	"5,218.40"	"3,869.60"	"1,348.80"	350.80
34	"3,536.80"	"3,040.40"	496.40	13.80	"2,908.80"	"2,651.40"	257.40	0.00	"3,060.80"	"2,514.00"	546.80	34.20	"3,284.40"	"2,748.00"	536.40	0.00	"3,559.20"	"2,951.40"	607.80	19.80	"4,212.40"	"3,023.00"	"1,189.40"	224.00
35	"2,327.60"	"1,882.80"	444.80	111.40	"2,705.60"	"2,045.20"	660.40	692.20	"2,183.80"	"1,689.00"	494.80	785.60	"2,962.00"	"2,083.40"	878.60	285.00	"2,247.20"	"1,896.80"	350.40	879.80	"3,907.60"	"2,566.40"	"1,341.20"	478.40
36	"3,608.40"	"2,976.20"	632.20	0.00	"3,532.40"	"2,837.00"	695.40	0.00	"3,668.00"	"3,373.60"	294.40	0.00	"3,602.20"	"3,324.80"	277.40	240.80	"3,648.00"	"3,385.80"	262.20	0.00	"3,784.60"	"3,533.20"	251.40	0.00
