subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	scr_diff_SVO_first-pass	scr_diff_SVO_progr	scr_diff_SVO_regr	scr_diff_SVO_lookback	scr_diff_OVS_first-pass	scr_diff_OVS_progr	scr_diff_OVS_regr	scr_diff_OVS_lookback	scr_same_SVO_first-pass	scr_same_SVO_progr	scr_same_SVO_regr	scr_same_SVO_lookback	scr_same_OVS_first-pass	scr_same_OVS_progr	scr_same_OVS_regr	scr_same_OVS_lookback
01	"2,849.40"	"2,384.20"	465.20	80.60	"3,022.80"	"2,217.80"	805.00	331.40	"2,614.22"	"2,012.89"	601.33	495.11	"3,336.00"	"2,166.40"	"1,169.60"	710.60	"3,718.57"	"2,386.29"	"1,332.29"	28.29	"4,262.33"	"2,147.67"	"2,114.67"	251.00
02	"3,752.00"	"3,002.00"	750.00	0.00	"3,482.80"	"2,955.80"	527.00	0.00	"4,248.20"	"3,147.00"	"1,101.20"	0.00	"4,249.60"	"3,246.20"	"1,003.40"	20.00	"3,541.00"	"3,051.80"	489.20	0.00	"3,379.00"	"3,028.20"	350.80	0.00
03	"4,088.20"	"3,066.60"	"1,021.60"	59.40	"4,256.80"	"3,232.40"	"1,024.40"	176.80	"4,867.00"	"3,663.00"	"1,204.00"	73.40	"4,977.40"	"3,817.60"	"1,159.80"	0.00	"5,434.00"	"4,193.11"	"1,240.89"	567.60	"4,859.80"	"3,762.00"	"1,097.80"	78.80
04	"3,499.40"	"2,994.40"	505.00	39.60	"3,685.20"	"2,987.60"	697.60	675.40	"4,163.60"	"3,084.60"	"1,079.00"	691.00	"4,556.00"	"3,124.60"	"1,431.40"	245.80	"4,437.60"	"3,055.00"	"1,382.60"	908.00	"4,675.80"	"3,172.60"	"1,503.20"	325.20
05	"3,658.67"	"2,825.78"	832.89	"1,832.40"	"4,085.80"	"2,934.20"	"1,151.60"	"1,274.20"	"4,011.40"	"2,700.00"	"1,311.40"	603.60	"5,404.80"	"3,092.00"	"2,312.80"	947.80	"5,165.56"	"3,198.22"	"1,967.33"	471.33	"4,374.20"	"2,847.80"	"1,526.40"	"1,063.80"
06	"2,647.40"	"2,433.80"	213.60	49.20	"2,863.80"	"2,587.60"	276.20	0.00	"2,825.60"	"2,521.40"	304.20	87.40	"4,197.80"	"3,408.40"	789.40	202.00	"3,771.00"	"3,052.20"	718.80	195.20	"3,702.80"	"2,906.80"	796.00	319.20
07	"3,760.80"	"3,179.40"	581.40	461.40	"4,148.40"	"3,190.20"	958.20	216.20	"3,253.80"	"2,616.00"	637.80	470.80	"3,785.40"	"2,822.80"	962.60	76.20	"4,601.80"	"3,503.20"	"1,098.60"	503.60	"4,158.20"	"3,078.00"	"1,080.20"	124.80
08	"4,262.00"	"3,101.00"	"1,161.00"	26.20	"3,636.20"	"2,771.60"	864.60	28.00	"3,484.00"	"2,811.80"	672.20	288.40	"3,087.60"	"2,520.00"	567.60	221.40	"3,632.20"	"2,849.80"	782.40	232.20	"4,031.20"	"3,053.60"	977.60	257.20
09	"2,950.40"	"2,494.40"	456.00	0.00	"3,197.80"	"2,633.00"	564.80	60.80	"3,163.00"	"2,816.60"	346.40	27.00	"3,068.20"	"2,688.20"	380.00	28.80	"3,104.40"	"2,752.20"	352.20	0.00	"3,308.60"	"2,723.00"	585.60	497.40
10	"2,922.00"	"2,856.00"	66.00	27.00	"3,074.40"	"2,899.60"	174.80	0.00	"3,485.40"	"3,086.60"	398.80	0.00	"3,188.20"	"2,920.60"	267.60	21.80	"3,521.60"	"3,163.80"	357.80	63.00	"3,350.00"	"3,062.60"	287.40	0.00
11	"3,104.60"	"2,730.40"	374.20	69.20	"2,864.20"	"2,483.80"	380.40	79.80	"2,940.60"	"2,667.40"	273.20	124.20	"2,992.20"	"2,651.20"	341.00	243.00	"2,913.60"	"2,553.60"	360.00	95.40	"3,086.80"	"2,658.40"	428.40	259.00
12	"3,694.00"	"3,411.00"	283.00	39.40	"4,269.80"	"3,757.60"	512.20	51.20	"3,505.80"	"2,979.60"	526.20	86.20	"3,282.20"	"2,939.60"	342.60	38.60	"3,899.40"	"3,311.60"	587.80	99.00	"3,406.60"	"3,034.00"	372.60	33.20
13	"3,361.80"	"2,680.80"	681.00	"2,675.40"	"3,039.60"	"2,409.00"	630.60	"3,379.00"	"3,873.20"	"2,538.20"	"1,335.00"	"2,394.00"	"3,726.00"	"2,503.80"	"1,222.20"	"2,674.60"	"3,082.60"	"2,433.40"	649.20	"1,978.40"	"4,234.80"	"2,706.20"	"1,528.60"	"1,137.00"
14	"3,200.80"	"2,852.00"	348.80	164.60	"3,134.60"	"2,493.40"	641.20	0.00	"3,618.60"	"2,566.00"	"1,052.60"	137.80	"4,210.00"	"2,665.20"	"1,544.80"	80.00	"3,185.20"	"2,550.40"	634.80	0.00	"4,226.20"	"2,740.80"	"1,485.40"	112.40
15	"2,846.40"	"2,313.80"	532.60	275.80	"3,253.20"	"2,365.20"	888.00	502.40	"3,399.00"	"2,392.60"	"1,006.40"	218.80	"3,490.80"	"2,490.80"	"1,000.00"	58.80	"2,413.11"	"1,894.67"	518.44	652.44	"3,538.67"	"2,339.78"	"1,198.89"	445.56
16	"4,627.00"	"3,123.20"	"1,503.80"	178.20	"4,654.20"	"3,184.00"	"1,470.20"	357.40	"4,340.20"	"2,711.40"	"1,628.80"	270.60	"4,357.60"	"2,614.20"	"1,743.40"	650.20	"3,620.40"	"2,602.60"	"1,017.80"	39.20	"3,901.20"	"2,851.00"	"1,050.20"	189.20
17	"1,932.80"	"1,782.60"	150.20	118.80	"2,173.60"	"1,925.20"	248.40	0.00	"2,386.00"	"1,960.00"	426.00	0.00	"2,565.40"	"2,086.40"	479.00	0.00	"2,254.20"	"1,985.80"	268.40	131.40	"2,708.20"	"2,235.60"	472.60	42.40
18	"4,377.00"	"3,491.60"	885.40	160.60	"5,223.40"	"4,261.80"	961.60	631.60	"4,647.20"	"3,371.20"	"1,276.00"	269.80	"5,232.80"	"4,014.20"	"1,218.60"	155.20	"4,561.80"	"3,497.40"	"1,064.40"	742.80	"4,533.60"	"3,348.60"	"1,185.00"	250.20
19	"3,506.20"	"2,920.80"	585.40	0.00	"3,083.20"	"2,660.80"	422.40	108.80	"4,338.20"	"3,266.40"	"1,071.80"	0.00	"4,433.80"	"3,304.80"	"1,129.00"	0.00	"3,411.40"	"2,707.80"	703.60	167.40	"3,355.60"	"2,880.60"	475.00	341.60
20	"6,088.20"	"4,651.20"	"1,437.00"	199.40	"6,087.20"	"4,779.00"	"1,308.20"	780.40	"7,723.60"	"5,384.60"	"2,339.00"	920.80	"6,423.60"	"4,708.40"	"1,715.20"	235.60	"6,531.80"	"4,731.80"	"1,800.00"	889.40	"5,922.00"	"4,585.20"	"1,336.80"	283.60
21	"2,782.80"	"2,296.40"	486.40	18.60	"2,761.00"	"2,377.60"	383.40	49.40	"3,390.00"	"2,772.80"	617.20	0.00	"3,795.80"	"2,764.60"	"1,031.20"	131.60	"2,915.60"	"2,322.40"	593.20	0.00	"3,404.00"	"2,411.20"	992.80	0.00
22	"2,726.20"	"1,897.00"	829.20	"1,661.80"	"2,468.80"	"1,687.40"	781.40	"2,005.60"	"4,835.00"	"2,211.00"	"2,624.00"	"4,454.00"	"4,234.20"	"2,047.20"	"2,187.00"	"6,404.40"	"3,229.40"	"1,608.20"	"1,621.20"	"5,274.60"	"3,641.40"	"2,204.80"	"1,436.60"	"5,313.00"
23	"4,499.80"	"3,814.40"	685.40	487.80	"4,868.20"	"3,559.80"	"1,308.40"	365.00	"5,061.60"	"3,676.40"	"1,385.20"	271.80	"4,605.80"	"3,234.60"	"1,371.20"	973.60	"4,611.60"	"3,218.40"	"1,393.20"	155.20	"5,644.80"	"3,289.80"	"2,355.00"	205.20
24	"4,485.60"	"4,140.40"	345.20	119.00	"5,337.80"	"4,904.00"	433.80	0.00	"5,387.80"	"4,497.60"	890.20	136.00	"5,610.40"	"4,633.40"	977.00	18.60	"5,061.40"	"4,754.80"	306.60	143.00	"5,499.80"	"4,577.60"	922.20	0.00
25	"3,420.40"	"2,587.80"	832.60	724.20	"3,571.20"	"2,802.80"	768.40	526.60	"4,338.60"	"3,453.20"	885.40	433.80	"4,508.00"	"3,227.20"	"1,280.80"	655.40	"3,390.80"	"2,626.20"	764.60	620.80	"4,412.20"	"2,975.20"	"1,437.00"	309.40
